pais,anio,co2,poblacion,energia_renovable
Colombia,2015,86.2,46700000,26.4
Colombia,2018,92.5,48300000,27.1
Colombia,2021,79.8,51500000,29.3
Colombia,2023,88.1,52300000,
Peru,2015,52.4,30500000,24.8
Peru,2018,57.9,31900000,25.6
Peru,2021,50.3,33400000,27.2
Peru,2023,55.6,34200000,26.9
Chile,2015,79.1,17900000,31.2
Chile,2018,88.4,18700000,34.5
Chile,2021,83.6,19200000,41.8
Chile,2023,85.2,19600000,
Ecuador,2015,38.7,16200000,22.1
Ecuador,2018,41.2,17000000,23.4
Ecuador,2021,36.9,17800000,25.0
Ecuador,2023,39.5,18200000,24.6

